streamMode,streamDependency,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
per-source,none,300,3,none,255M,188.932,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/none/d2d.log,NA
per-source,none,300,3,d2h-all,255M,162.603,12.915,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-3/d2h-all/background.log
per-edge,none,20,1,none,255M,581.638,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/none/d2d.log,NA
per-edge,none,20,1,d2h-all,255M,578.034,12.552,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-1/d2h-all/background.log
per-edge,none,20,2,none,255M,581.652,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/none/d2d.log,NA
per-edge,none,20,2,d2h-all,255M,577.973,15.865,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-2/d2h-all/background.log
per-edge,none,20,3,none,255M,581.674,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/none/d2d.log,NA
per-edge,none,20,3,d2h-all,255M,578.026,12.305,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-20/repetition-3/d2h-all/background.log
per-edge,none,300,1,none,255M,581.878,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/none/d2d.log,NA
per-edge,none,300,1,d2h-all,255M,578.193,12.543,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-1/d2h-all/background.log
per-edge,none,300,2,none,255M,581.875,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/none/d2d.log,NA
per-edge,none,300,2,d2h-all,255M,578.193,12.552,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-2/d2h-all/background.log
per-edge,none,300,3,none,255M,581.872,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-edge/dependency-none/repeats-300/repetition-3/none/d2d.log,NA
