edgeOrder,streamMode,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
destination-major,per-source,300,2,d2h-all,255M,160.235,12.368,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/d2h-all/background.log
destination-major,per-source,300,3,none,255M,188.831,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/none/d2d.log,NA
destination-major,per-source,300,3,d2h-all,255M,159.733,12.572,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-3/d2h-all/background.log
destination-major,per-edge,20,1,none,255M,581.712,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/none/d2d.log,NA
destination-major,per-edge,20,1,d2h-all,255M,578.046,15.546,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-1/d2h-all/background.log
destination-major,per-edge,20,2,none,255M,581.699,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/none/d2d.log,NA
destination-major,per-edge,20,2,d2h-all,255M,578.050,11.638,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-2/d2h-all/background.log
destination-major,per-edge,20,3,none,255M,581.695,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/none/d2d.log,NA
destination-major,per-edge,20,3,d2h-all,255M,578.029,17.660,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-20/repetition-3/d2h-all/background.log
destination-major,per-edge,300,1,none,255M,581.876,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-edge/repeats-300/repetition-1/none/d2d.log,NA
