offsetId,offsetsUs,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
offset-3,"0,1000,2000,3000",300,3,d2h-all,255M,152.486,12.800,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/d2h-all/background.log
offset-4,"0,2000,4000,6000",20,1,none,255M,179.781,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/none/d2d.log,NA
offset-4,"0,2000,4000,6000",20,1,d2h-all,255M,127.671,14.499,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-1/d2h-all/background.log
offset-4,"0,2000,4000,6000",20,2,none,255M,179.776,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/none/d2d.log,NA
offset-4,"0,2000,4000,6000",20,2,d2h-all,255M,128.128,16.039,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-2/d2h-all/background.log
offset-4,"0,2000,4000,6000",20,3,none,255M,179.784,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/none/d2d.log,NA
offset-4,"0,2000,4000,6000",20,3,d2h-all,255M,127.731,14.035,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-20/repetition-3/d2h-all/background.log
offset-4,"0,2000,4000,6000",300,1,none,255M,183.934,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/none/d2d.log,NA
offset-4,"0,2000,4000,6000",300,1,d2h-all,255M,142.294,13.296,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-1/d2h-all/background.log
offset-4,"0,2000,4000,6000",300,2,none,255M,183.909,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-4/repeats-300/repetition-2/none/d2d.log,NA
