streamAssignment,assignmentId,repeats,repetition,scenario,d2dSize,backgroundSize,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
"1,0,1",101,300,3,d2h-all,255M,64K,259.393,7.199,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-101/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-101/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-101/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-101/repeats-300/repetition-3/d2h-all/background.log
"1,1,0",110,20,1,none,255M,64K,260.526,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/none/d2d.log,NA
"1,1,0",110,20,1,d2h-all,255M,64K,259.226,10.457,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-1/d2h-all/background.log
"1,1,0",110,20,2,none,255M,64K,260.475,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/none/d2d.log,NA
"1,1,0",110,20,2,d2h-all,255M,64K,259.360,10.839,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-2/d2h-all/background.log
"1,1,0",110,20,3,none,255M,64K,260.496,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/none/d2d.log,NA
"1,1,0",110,20,3,d2h-all,255M,64K,259.296,10.385,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-20/repetition-3/d2h-all/background.log
"1,1,0",110,300,1,none,255M,64K,260.441,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/none/d2d.log,NA
"1,1,0",110,300,1,d2h-all,255M,64K,259.271,8.312,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-1/d2h-all/background.log
"1,1,0",110,300,2,none,255M,64K,260.460,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/none/d2d.log,NA
"1,1,0",110,300,2,d2h-all,255M,64K,259.275,7.534,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-2/d2h-all/background.log
"1,1,0",110,300,3,none,255M,64K,260.463,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/none/d2d.log,NA
"1,1,0",110,300,3,d2h-all,255M,64K,259.283,7.382,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T162713Z-330735/assignment-110/repeats-300/repetition-3/d2h-all/background.log
