mode,repeats,repetition,scenario,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,d2dJson,backgroundJson
async,500,2,d2h-gpu0,172.878,11.331,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-gpu0/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-gpu0/async/background.json
sync,500,2,d2h-gpu0,130.683,9.752,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-gpu0/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-gpu0/sync/background.json
async,500,2,d2h-all,171.045,12.842,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-all/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-all/async/background.json
sync,500,2,d2h-all,127.340,11.473,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-all/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/d2h-all/sync/background.json
async,500,3,none,190.766,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/none/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/none/async/background.json
sync,500,3,none,179.299,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/none/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/none/sync/background.json
async,500,3,d2h-gpu0,173.397,11.224,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-gpu0/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-gpu0/async/background.json
sync,500,3,d2h-gpu0,130.640,9.723,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-gpu0/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-gpu0/sync/background.json
async,500,3,d2h-all,171.033,12.848,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-all/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-all/async/background.json
sync,500,3,d2h-all,127.323,11.368,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-all/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-3/d2h-all/sync/background.json
